Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;6229900;6492000;5044000;5491000;6313000;6859000;10040000;
Update;Optimized;10;5745700;6027000;4986000;5353000;5693000;6414000;8331000;
Update;Optimized;25;7145500;7285000;6204000;6857000;7098000;7491000;9113000;
Update;Optimized;50;9049900;9119000;7864000;8719000;8999000;9501000;10580000;
Update;Optimized;100;11756900;12087000;10708000;11277000;11733000;12550000;15078000;
Update;Optimized;1000;87545500;87561000;80964000;86123000;87648000;89114000;94782000;
Update;Optimized Dapper;1;5779900;5928000;4629000;5194000;5713000;6452000;8803000;
Update;Optimized Dapper;10;5848700;6033000;4890000;5519000;5811000;6338000;8489000;
Update;Optimized Dapper;25;6973600;7213000;6084000;6612000;6957000;7615000;11018000;
Update;Optimized Dapper;50;8985200;9091000;7956000;8590000;9006000;9495000;10759000;
Update;Optimized Dapper;100;11267100;11285000;10153000;10970000;11253000;11561000;12555000;
Update;Optimized Dapper;1000;86889700;86750000;78007000;85528000;86994000;88289000;94284000;
Update;EF Core;1;9321400;9326000;7601000;8790000;9348000;9849000;11057000;
Update;EF Core;10;27351700;28102000;24017000;26153000;27138000;29398000;38045000;
Update;EF Core;25;58577500;60119000;52339000;55575000;58402000;62691000;83201000;
Update;EF Core;50;111884000;112499000;101436000;109151000;111306000;115967000;124462000;
Update;EF Core;100;217903700;217985000;194324000;210719000;217312000;225606000;240560000;
Update;EF Core;1000;2124453000;2123764000;2035534000;2097842000;2124840000;2144575000;2228920000;
