Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;5624300;5890000;4492000;4970000;5647000;6753000;9943000;
Delete;Optimized;10;5350500;5349000;4389000;4709000;5408000;5730000;6763000;
Delete;Optimized;25;7062500;7224000;5398000;6308000;7127000;7842000;9987000;
Delete;Optimized;50;11734500;11975000;7713000;10249000;11625000;13893000;19206000;
Delete;Optimized;100;20818500;20749000;11303000;16141000;21063000;25345000;34174000;
Delete;Optimized;1000;82778000;87053000;64120000;71359000;74682000;102937000;137429000;
Delete;Optimized Dapper;1;5550900;5730000;4408000;5152000;5505000;6011000;7938000;
Delete;Optimized Dapper;10;5230200;5345000;4308000;4920000;5174000;5658000;7527000;
Delete;Optimized Dapper;25;7297000;7426000;5510000;6332000;7268000;8386000;10361000;
Delete;Optimized Dapper;50;12018400;12343000;8367000;10254000;12174000;14258000;21243000;
Delete;Optimized Dapper;100;22200900;22643000;11301000;16279000;22500000;27330000;42209000;
Delete;Optimized Dapper;1000;83243600;86501000;65270000;71947000;81412000;99992000;143606000;
Delete;EF Core;1;8748000;9135000;7108000;8183000;8713000;9552000;14252000;
Delete;EF Core;10;26552800;26926000;23597000;24901000;26556000;28065000;33567000;
Delete;EF Core;25;62872600;64208000;51804000;57881000;60724000;71613000;84810000;
Delete;EF Core;50;117901200;120791000;105133000;112544000;117354000;125947000;155033000;
Delete;EF Core;100;219480500;218782000;191772000;210553000;221077000;227049000;248174000;
Delete;EF Core;1000;2113878100;2105402000;1989034000;2085233000;2112016000;2136568000;2178531000;
